,charts/0/avg_episode_returns,charts/0/avg_episode_lengths,charts/0/avg_episode_success,stats/0/avg_params_queue_get_time,stats/0/avg_rollout_time,stats/0/avg_create_rollout_time,stats/0/avg_rollout_queue_put_time,stats/0/avg_env_recv_time,stats/0/avg_inference_time,stats/0/avg_storage_time,stats/0/avg_device2host_time,stats/0/avg_env_send_time,stats/0/avg_update_time,charts/0/instant_avg_episode_length,charts/0/instant_avg_episode_return,charts/0/returned_avg_episode_length,charts/0/returned_avg_episode_return,charts/0/returned_avg_episode_success,stats/0/inner_time_efficiency,stats/0/middle_time_efficiency,charts/0/SPS,policy_versions/actor_0,stats/rollout_queue_get_time,stats/rollout_params_queue_get_time_diff,stats/training_time,stats/rollout_queue_size,stats/params_queue_size,losses/value_loss,losses/policy_loss,losses/entropy,losses/loss,actor_ma,adv_multiplier,critic_bias,critic_diff,critic_ma,grad_rms/avg,grad_rms/total,param_rms/avg,param_rms/total,proportion_of_boxes,var_explained,policy_versions/learner,losses/learning_rate,rho100/00_episode_returns,rho100/00_episode_lengths,rho100/00_episode_successes,rho100/00_episode_num_cycles,rho100/00_cycles_steps_per_eps_incl_noops,rho100/00_cycles_steps_per_eps_excl_noops,rho100/00_episode_num_noops_per_eps,rho100/00_episode_num_cycles_in_solved,rho100/00_cycles_steps_per_eps_incl_noops_in_solved,rho100/00_cycles_steps_per_eps_excl_noops_in_solved,rho100/00_episode_num_noops_per_eps_in_solved,rho100/00_episode_zero_boxes,rho100/00_episode_one_box,rho100/00_episode_two_boxes,rho100/00_episode_three_boxes,rho050/00_episode_returns,rho050/00_episode_lengths,rho050/00_episode_successes,rho050/00_episode_num_cycles,rho050/00_cycles_steps_per_eps_incl_noops,rho050/00_cycles_steps_per_eps_excl_noops,rho050/00_episode_num_noops_per_eps,rho050/00_episode_num_cycles_in_solved,rho050/00_cycles_steps_per_eps_incl_noops_in_solved,rho050/00_cycles_steps_per_eps_excl_noops_in_solved,rho050/00_episode_num_noops_per_eps_in_solved,rho050/00_episode_zero_boxes,rho050/00_episode_one_box,rho050/00_episode_two_boxes,rho050/00_episode_three_boxes,rho000/00_episode_returns,rho000/00_episode_lengths,rho000/00_episode_successes,rho000/00_episode_num_cycles,rho000/00_cycles_steps_per_eps_incl_noops,rho000/00_cycles_steps_per_eps_excl_noops,rho000/00_episode_num_noops_per_eps,rho000/00_episode_num_cycles_in_solved,rho000/00_cycles_steps_per_eps_incl_noops_in_solved,rho000/00_cycles_steps_per_eps_excl_noops_in_solved,rho000/00_episode_num_noops_per_eps_in_solved,rho000/00_episode_zero_boxes,rho000/00_episode_one_box,rho000/00_episode_two_boxes,rho000/00_episode_three_boxes
51200,-3.0390615463256836,68.24810791015625,0.6117424242424242,0.9740432024002075,1.0739691019058228,5.432724952697754e-05,1.5330314636230468e-05,0.00957221508026123,0.0169859778881073,0.05866308212280273,0.021114966869354247,0.00594024658203125,2.106711745262146,59.23828,-2.9619129,77.328125,-3.5417871,0.52734375,0.999427889946636,0.9999900183218117,2369.6217802153383,8.0,0.9643353700637818,-0.009707832336425692,1.1678385734558105,1.0,0.0,0.24253052473068237,0.02427799627184868,-1.2161290645599365,0.0743851363658905,0.5575395822525024,1.0,-0.009158708155155182,-5.758955478668213,5.76811408996582,0.0004450289416126907,0.5358660221099854,0.03329446166753769,40.090354919433594,0.005078124813735485,-0.015617147088050842,10.0,0.00039987834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102400,-4.036873817443848,85.86009216308594,0.4149443561208267,0.3539955377578735,0.7884814023971558,4.969477653503418e-05,1.4066696166992188e-05,0.0029119205474853515,0.00802640438079834,0.020477724075317384,0.024429681301116942,0.003978728055953979,1.1629905939102172,48.277344,-2.413867,86.71484,-4.0812454,0.40625,0.9992988786321629,0.999981201065754,3073.1900018085807,18.0,0.00019583702087402343,-0.3537997007369995,1.1734824180603027,1.0,1.0,0.14998450875282288,-0.0015528155490756035,-1.0977973937988281,0.026922110468149185,0.5320509076118469,1.0,-0.009665639139711857,-3.9390125274658203,3.9486780166625977,0.00023455580230802298,0.2824321687221527,0.033319443464279175,40.120445251464844,0.00644531287252903,0.0009527057409286499,20.0,0.00039974315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153600,-3.9072391986846924,83.95548248291016,0.4571917808219178,0.33027138710021975,0.8330796241760254,5.6507587432861326e-05,1.1897087097167968e-05,0.0032869279384613037,0.00831553816795349,0.02193324565887451,0.024928447008132935,0.005033543109893799,1.185318684577942,56.753906,-2.8376951,82.47266,-3.834847,0.46484375,0.9992073411479836,0.9999809919846719,3397.130807611369,28.0,0.00015707015991210936,-0.33011431694030763,1.1797864437103271,1.0,1.0,0.418368935585022,0.03269420191645622,-1.3463387489318848,0.12415461242198944,0.21806779503822327,1.0,-0.01334894448518753,-5.224763870239258,5.2381134033203125,0.00044664673623628914,0.5378140211105347,0.033341821283102036,40.14738464355469,0.0054687499068677425,0.001311182975769043,30.0,0.000399608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204800,-3.9139392375946045,83.89286041259766,0.4383116883116883,0.3338595390319824,0.8045367240905762,5.1232576370239256e-05,1.018047332763672e-05,0.0028947997093200684,0.008390154838562012,0.028676676750183105,0.024285112619400025,0.004576492309570313,1.1671034097671509,54.88672,-2.7443354,86.66406,-4.1040597,0.3828125,0.9992779906637828,0.999982615575525,3597.71729088954,38.0,0.00013663768768310547,-0.33372290134429927,1.1849517822265625,1.0,1.0,0.456733763217926,0.032974973320961,-1.3053169250488281,0.13500246405601501,0.34805166721343994,1.0,-0.015471595339477062,-5.34620475769043,5.361676216125488,0.0007699152338318527,0.927066445350647,0.033351872116327286,40.15949249267578,0.005078124813735485,0.010698892176151276,40.0,0.00039947283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256000,-3.9109511375427246,83.66828155517578,0.43527508090614886,0.2877582311630249,0.8688672304153442,6.49571418762207e-05,1.2516975402832031e-05,0.0038108885288238525,0.00849712610244751,0.02798490524291992,0.025235146284103394,0.005799485445022583,1.1846497774124145,52.90625,-2.6453123,87.10156,-4.1247425,0.375,0.9991769048885281,0.9999772982562143,3717.141513546388,48.0,0.00026752948760986326,-0.287490701675415,1.2186553478240967,1.0,0.0,0.28830936551094055,-0.0318349190056324,-1.2655706405639648,0.028630897402763367,0.3988913893699646,1.0,-0.016294077038764954,-5.448223114013672,5.464517593383789,0.00048682495253160596,0.5861932039260864,0.033354319632053375,40.162437438964844,0.0033203125931322575,-0.02505744993686676,50.0,0.00039933764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307200,-3.9164516925811768,83.90115356445312,0.443163097199341,0.32559640407562257,0.8296911001205445,5.651712417602539e-05,1.1301040649414062e-05,0.003179091215133667,0.008658044338226319,0.025281548500061035,0.02451283574104309,0.005045688152313233,1.1806044816970824,53.96875,-2.6984372,82.28906,-3.8213966,0.44921875,0.9992195062685334,0.9999795630453898,3807.5074713853364,58.0,0.000331568717956543,-0.32526483535766604,1.1832406520843506,1.0,1.0,0.49444374442100525,-0.050692368298769,-1.2535589933395386,0.06178734451532364,0.5084569454193115,1.0,-0.01654273085296154,-5.0796098709106445,5.0961527824401855,0.0005757127073593438,0.693224310874939,0.03337306156754494,40.185001373291016,0.004101562779396772,-0.006415553390979767,60.0,0.0003992025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358400,-3.93721604347229,84.06810760498047,0.4219269102990033,0.3441540002822876,0.8041042566299439,4.989385604858399e-05,1.080036163330078e-05,0.0027832257747650146,0.008116555213928223,0.023880863189697267,0.024561082124710084,0.004664312601089477,1.1721731662750243,56.277344,-2.8138669,86.828125,-4.0882936,0.3984375,0.9992502648578894,0.9999801686200203,3877.574677214245,68.0,0.00026683807373046876,-0.34388716220855714,1.1912753582000732,1.0,1.0,0.15210863947868347,-0.11823531985282898,-1.31817626953125,-0.09292195737361908,0.25645139813423157,1.0,-0.016744643449783325,-4.54728364944458,4.564028263092041,0.0007272568764165044,0.8757008910179138,0.03338836133480072,40.20342254638672,0.001953125,-0.06760016083717346,70.0,0.0003990673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409600,-3.710805892944336,80.02163696289062,0.46367851622874806,0.2701632261276245,0.8925175428390503,6.706714630126953e-05,1.2564659118652344e-05,0.003989037275314331,0.009074574708938599,0.024836254119873048,0.025374900102615356,0.0060841250419616695,1.1875545024871825,54.035156,-2.7017577,82.95703,-3.8912358,0.41796875,0.9991894194772637,0.9999790201279487,3925.0036449922136,78.0,0.00019447803497314454,-0.26996874809265137,1.1884469985961914,1.0,1.0,0.5099765062332153,-0.010287314653396606,-1.2701035737991333,0.105663001537323,0.43204042315483093,1.0,-0.01848279871046543,-5.213387489318848,5.231870174407959,0.0007955649634823203,0.9579517245292664,0.033393021672964096,40.20903396606445,0.0044921874068677425,0.008747875690460205,80.0,0.00039893214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460800,-4.035184383392334,85.68888854980469,0.39658119658119656,0.317311692237854,0.8539723873138427,5.867481231689453e-05,1.1396408081054687e-05,0.003355332612991333,0.0090876042842865,0.019892358779907228,0.024770610332489014,0.005393427610397339,1.1912109136581421,58.222656,-2.9111326,89.80078,-4.256259,0.375,0.9992278506026462,0.999980625665705,3962.692053709504,88.0,0.00016565322875976561,-0.3171460390090942,1.2123260498046875,1.0,0.0,0.7960089445114136,0.12253787368535995,-1.3213717937469482,0.30879831314086914,0.2822958528995514,1.0,-0.02162855491042137,-7.045377254486084,7.0670061111450195,0.001170334406197071,1.409217119216919,0.033427610993385315,40.25068283081055,0.0048828125,-0.0015574917197227478,90.0,0.00039879695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512000,-4.017525672912598,85.74160766601562,0.42953020134228187,0.28823997974395754,0.8901736736297607,6.74891471862793e-05,1.2850761413574218e-05,0.003984594345092773,0.009052020311355592,0.02836153507232666,0.02529497742652893,0.006073076725006104,1.2068126916885376,58.60547,-2.930273,88.15625,-4.1545,0.40625,0.9991793573007068,0.9999795722391314,3988.8972254225123,98.0,0.0002354145050048828,-0.2880045652389527,1.1923387050628662,1.0,1.0,0.5976843237876892,0.06504767388105392,-1.3329424858093262,0.20161765813827515,0.25800180435180664,1.0,-0.02324182167649269,-6.447230339050293,6.4704718589782715,0.0008270045509561896,0.9958085417747498,0.03347939997911453,40.313045501708984,0.0044921874068677425,0.008055277168750763,100.0,0.0003986618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
